drug_code,code_status,약품명,opening_qty,in_qty,used_qty,disposal_qty,return_qty,current_qty
ADLT,CODE,아달라트오로스정30mg,2751.5,0,0,0,0,2751.5
ADPM1,CODE,아디팜정,1900,0,0,0,0,1900
ARAVA2,CODE,아라바정20g,0,0,0,0,0,0
ARNAM,CODE,아로나민골드정,0,0,0,0,0,0
ARNMCARE,CODE,아로나민케어싸이정,283,0,0,0,0,283
SARBST,CODE,아로베스트정,0,0,0,0,0,0
,NOCODE,아록솔정,0,0,0,0,0,0
,NOCODE,아리피졸정2mg,0,0,0,0,0,0
AMRAM500,CODE,아마리아엠정2/500mg,0,0,0,0,0,0
AMRT2,CODE,아마리아정,0,0,0,0,0,0
AMR4,CODE,아마릴정4mg,0,0,0,0,0,0
AMDP,CODE,아모디핀정5mg,0,0,0,0,0,0
,NOCODE,아목클정625mg,0,0,0,0,0,0
AVLX,CODE,아벨록스정400mg,0,0,0,0,0,0
AVDT,CODE,아보다트연질캅셀,0,0,0,0,0,0
,NOCODE,아서틸아르기닌정10mg,0,0,0,0,0,0
ACERANO,CODE,아세라노세미정,0,0,0,0,0,0
,NOCODE,아세브로캡슐100mg,0,0,0,0,0,0
,NOCODE,아세티론정100mg,0,0,0,0,0,0
ACTC,CODE,아세틸캡슐,0,0,0,0,0,0
ACELEX2,CODE,아셀렉스정2mg,0,0,0,0,0,0
ACYCLIZ,CODE,아시클리즈정,0,0,0,0,0,0
